id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
Gtf2h5	158	78	166	73	87	1066	298	533	149	882	44	927	32
Gtf2i	73	17	76	32	50	139	105	74	48	129	18	137	1
Gtf2ird1	17	8	14	11	14	85	32	68	15	109	5	132	3
Gtf2ird2	3	3	12	2	2	9	19	12	1	17	5	17	2
Gtf3a	23	10	20	7	10	88	51	32	28	35	5	57	1
Gtf3c1	48	28	39	21	23	133	51	82	28	126	9	157	4
Gtf3c2	27	17	25	17	29	62	43	35	22	48	6	53	4
Gtf3c3	8	7	2	5	4	48	13	14	7	29	6	41	0
Gtf3c4	16	5	17	5	6	45	8	15	12	30	4	29	0
Gtf3c5	9	5	17	1	11	28	19	10	7	18	1	28	1
Gtf3c6	43	17	45	21	24	386	73	144	30	207	12	199	6
Gtl3	48	32	57	28	26	232	114	115	57	192	17	217	6
Gtpbp1	8	8	15	7	5	44	19	33	14	32	4	44	1
Gtpbp10	11	2	13	6	6	121	5	16	6	97	7	101	2
Gtpbp2	4	4	7	3	8	10	8	6	4	7	2	18	1
Gtpbp3	9	6	6	4	7	13	19	14	9	17	6	32	2
Gtpbp4	60	38	89	30	47	454	143	98	66	294	28	351	9
Gtpbp6	8	8	1	5	7	21	10	9	8	8	2	15	0
Gtpbp8	16	4	7	4	13	84	29	27	11	42	5	56	2
Gtse1	4	0	2	1	0	190	10	183	1	55	1	72	0
Gtsf1	1	0	0	0	0	8	0	0	0	4	0	7	0
Gtsf1l	0	0	0	0	0	0	0	0	0	0	0	0	0
Guca1a	6	1	4	0	1	3	4	19	5	14	1	11	2
Guca1b	1	0	0	0	0	0	1	0	0	1	0	0	0
Guca2a	0	0	0	0	0	0	0	0	0	0	0	1	0
Guca2b	0	0	0	0	0	0	0	0	0	1	0	0	0
Gucd1	7	6	4	3	6	31	14	16	5	28	0	29	1
Gucy1a2	2	0	2	0	1	0	2	0	1	2	2	4	0
Gucy1a3	5	1	9	6	5	0	6	0	2	0	2	0	4
Gucy1b2	0	0	0	0	0	0	0	0	0	0	0	0	0
Gucy1b3	1	5	3	2	2	1	4	0	2	0	1	0	1
Gucy2c	0	0	0	0	0	0	0	0	0	0	0	0	0
Gucy2d	0	0	1	0	0	0	0	0	0	0	0	0	0
Gucy2e	0	0	0	0	0	0	0	0	1	1	0	0	0
Gucy2f	0	0	0	0	0	0	0	0	0	0	0	0	0
Gucy2g	0	0	1	0	0	0	0	0	0	0	0	0	0
Guf1	11	3	11	5	7	30	8	3	8	22	0	21	0
Guk1	28	16	39	23	23	178	96	89	41	135	15	131	5
Gulo	0	0	0	0	0	0	0	0	0	0	0	0	0
Gulp1	25	8	11	7	2	1	16	3	15	4	3	2	2
Gusb	30	18	40	14	21	156	88	87	36	92	9	115	2
Gvin1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gxylt1	6	5	6	5	5	29	7	4	4	18	1	20	0
Gxylt2	5	1	3	0	0	2	6	2	4	1	2	0	2
Gyg	24	8	34	5	17	134	29	55	13	300	11	290	2
Gyk	3	2	2	0	0	22	6	8	1	10	1	15	0
Gykl1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gyltl1b	0	0	0	0	0	0	0	0	0	0	0	0	0
Gypa	0	0	2	0	0	0	0	0	0	0	0	0	0
Gypc	29	16	21	9	18	30	36	11	9	13	3	25	4
Gys1	7	6	4	5	5	44	6	30	6	89	2	101	1
Gys2	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzf1	14	13	17	9	19	68	27	20	15	55	7	75	3
Gzma	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmb	0	0	0	0	0	2	0	0	0	0	0	1	0
Gzmc	0	0	0	0	0	0	0	0	0	2	0	3	0
Gzmd	3	0	0	0	0	110	0	19	0	85	0	110	0
Gzme	0	0	0	0	0	81	1	15	0	95	0	141	0
Gzmf	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmg	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmk	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmm	0	0	0	0	0	2	1	1	0	3	0	3	0
Gzmn	0	0	0	0	0	0	0	0	0	0	0	0	0
H13	89	56	121	37	51	198	142	171	67	210	27	250	11
H19	148	44	79	44	82	6519	167	6353	51	12861	97	22521	39
H1f0	112	39	118	35	54	93	149	79	71	103	32	117	6
H1fnt	0	0	0	0	0	0	0	0	0	0	0	0	0
H1foo	0	0	0	0	0	0	0	0	0	0	0	0	0
H1fx	5	0	3	0	2	7	7	17	2	11	1	12	0
H2-Aa	37	3	95	10	35	0	20	0	13	0	0	0	1
H2-Ab1	47	10	115	8	37	2	27	1	22	13	3	29	0
